Mstar,class_star,qir,log(S8/S45),log(S58/S36),log(S45/S36)
0.896366024,0.000274225,0.602228685,0.512556571,0.483692529,0.159646939
0.896964721,0.000227733,0.613701132,0.44024476,0.458432504,0.12837683
0.895725832,0.031012226,0.566732193,0.553435007,0.476936102,0.08753497
0.899027561,0.000207405,0.568454541,0.488453244,0.487883987,0.331290291
0.895826603,0.048210536,0.46812043,0.53756979,0.579024915,0.52183002
0.886051826,0.921065653,0.673733451,0.577447028,0.498789089,0.32238009
0.896318602,0.000895434,0.724593153,0.574166071,0.476646848,0.153055972
0.910254624,0.028670693,0.392577461,0.43571151,0.410647969,0.131842339
0.937030045,0.93197127,0.598949986,0.699425718,0.790507543,0.638619769
0.919638173,0.02870833,0.433995968,0.446627938,0.427989033,0.22610027
0.887919051,0.028720708,0.628151886,0.783531644,0.501960417,0.437090873
0.935660746,0.000232563,0.39806739,0.409189141,0.403352183,0.14964171
0.925506596,0.028769314,0.614142794,0.511073582,0.497772787,0.10763188
0.934202532,0.84927928,0.618460473,0.812497876,0.847047747,0.773404915
0.906745426,0.062144306,0.424523545,0.22729045,0.589884842,0.466662922
0.904682586,0.028579519,0.570262548,0.768765957,0.548496153,0.141926307
0.902596036,0.938429907,0.61162603,0.67764994,0.380572031,0.613770601
0.894433593,0.001616269,0.596273596,0.556293308,0.433172974,0.102663956
0.813676389,8.81E-05,0.546754397,0.570981651,0.509152184,0.563492864
0.909928601,6.27E-05,0.634755429,0.448439205,0.670465547,0.558977786
0.915388012,0.001802441,0.606739975,0.55768883,0.542403867,0.319376011
0.934700459,0.026760072,0.594520402,0.501680472,0.453902886,0.346361344
0.90122081,0.954141664,0.560059507,0.622404241,0.696301516,0.540423845
0.905322778,0.003009435,0.628288632,0.477167083,0.444339255,0.046915388
0.894641063,0.000825997,0.596243256,0.631191967,0.567725389,0.419698548
0.923224432,0.026751619,0.618862982,0.589675575,0.529215549,0.160417557
0.88238258,0.028707726,0.78444323,0.860558351,0.484402715,0.342603167
0.865762495,0.000926328,0.635378577,0.536418291,0.508462115,0.153873193
0.876205916,0.020223041,0.617624021,0.555948614,0.507316512,0.151130787
0.930124274,1.27E-05,0.662043732,0.536720609,0.490422319,0.328723184
0.935844505,0.028602967,0.56173949,0.484922459,0.467786164,0.096978711
0.87167419,0.027936473,0.60981733,0.400575164,0.53664785,0.094248029
0.939608594,0.02864956,0.466511486,0.431603691,0.423962516,0.119349891
0.921890699,0.028709034,0.383076955,0.381966804,0.398028887,0.213785854
0.892886464,0.249412277,0.624338965,0.436614338,0.584462592,0.500797219
0.926443173,0.279695516,0.609306191,0.546117366,0.688395098,0.624139922
0.887836064,0.933111947,0.651205713,0.63480434,0.57936118,0.47478968
0.891481599,0.028696355,0.676895514,0.714545696,0.536231268,0.35974795
0.929217336,0.000218273,0.609888774,0.562322328,0.439572638,0.311504659
0.908085086,0.382725772,0.537598308,0.540540296,0.688633384,0.497190371
0.905933331,0.000477806,0.584528652,0.468224124,0.451031823,0.344349716
0.885530188,0.028698367,0.609907719,0.743483559,0.574987824,0.443672749
0.854444145,0.027147912,0.622218595,0.790203517,0.453137872,0.442222482
0.936958912,0.000527821,0.618994242,0.713770952,0.723103006,0.582207373
0.875186352,0.00062775,0.537217394,0.356984307,0.471355724,0.074534586
